comments;sentiment
recebi bem antes do prazo estipulado.;pos
parabens lojas lannister adorei comprar pela internet seguro e pratico parabens a todos feliz pascoa;pos
recomendo. aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que e o mesmo aparelho;pos
mas um pouco ,travando...pelo valor ta boa.;pos
super recomendo. vendedor confiavel, produto ok e entrega antes do prazo.;pos
gostaria de saber o que houve, sempre recebi e essa compra agora me decpcionou;neg
nao chegou meu produto . pessimo;neg
otimo. loja nota 10;pos
obrigado pela atencao amim dispensada;pos
a compra foi realizada facilmente.a entrega foi efetuada muito antes do prazo dado.o produto ja comecou a ser usado e ate o presente,sem problemas.;pos
relogio muito bonito e barato.;pos
nao gostei ! comprei gato por lebre;neg
sempre compro pela internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo maximo. no stark o prazo maximo ja se esgotou e ainda nao recebi o produto.;neg
muito bom.. recebi exatamente o que esperava. as demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.;pos
bom. recomendo ,;pos
muito boa;pos
maravilhoso!. to completamente apaixonada, loja super responsavel e confiavel!;pos
nada de chegar o meu pedido.;neg
entrega perfeita. muito bom. muito cheiroso.;pos
otimo vendedor chegou ate antes do prazo , adorei o produto;pos
processo de compra tranquilo e eficiente.;pos
tomara q dure pois e de pelinho.;pos
recebi somente 1 controle midea split estilo.faltou controle remoto para ar condicionado consul;neg
otimo;pos
boa;pos
mt lindo. mt lindo;pos
ocorreu tudo como contratado sendo a entrega realizada antes do prazo  estou satisfeita;pos
amei achei lindo ,muito delicado adorei;pos
otima loja para parceria: rapidissima, produtos bem embalados e de qualidade! so o custo do frete que foi meio azedo.;pos
otimo produto! . recomendo o vendedor...;pos
o produto nao chegou no prazo estipulado e causou transtorno, pq programei a viagem de ferias do meu filho, baseado no prazo. moro na bahia e ele em cuiaba sozinho. agora, a casa esta vazia.;neg
produto entregue como solicitado, e com muita brevidade. parabens!;pos
eu comprei duas unidades e so recebi uma e agora o que faco?;neg
produto bom, porem o que veio para mim nao condiz com a foto do anuncio.;neg
produto muito inferior, mal acabado.;neg
recomendo sempre!!. o kit mochila patrulha canina e lindo!! meu netinho vai amar!! obrigada!!;pos
maravilha;pos
entrega no prazo;neg
cumpriu o prometido na compra e com o uma entrega em tempo satisfatorio;pos
pedi reembolso e sem resposta ate momento;neg
recomendo. super rapido.;pos
satisfeito;pos
estao de parabens... sempre chega com muiiita antecedencia..muito obrigada....;pos
nao recebi o produto.;neg
otimo. ok recomendo;pos
produto chegou, mas meu pc nao conseguiu reconhecer as portas usb.;neg
produto de muito boa qualidade, chegou antes do prazo prometido;pos
este foi o pedidobalde com 128 pecas - blocos de montar 2 un - r$ 25,00 cada nao foi entreguevendido e entregue targaryentapete de eva no letras 36 pecas criancas 1 un - r$ 35,90 este foi entreg;neg
entrega muito rapidaparabens;pos
comprei tres pacotes de cinco folhas cada de papel transfer para tecido escuro e so recebi dois;neg
estava faltando apenas um produto, eu recebi hoje , muito obrigada!tudo certo!att elenice.;pos
a bolsa termica alem de linda e super espacosa . produto de acordo com o anunciado e a entrega super rapida , entregou bem antes do prazo .;pos
demorou de mais pra entrega;neg
super rapido a entrega .... chegou antes da data...;pos
entrega atrasou. a entrega foi dividida em duas. nao houve comunicado do loja. cheguei a pensar que so haviam enviado parte do produto.;neg
nao funciona nao faz sincronismo;neg
recomendo a todos os clientes;pos
gostei;neg
otima;pos
gostei muito do jogo de banho.a estampa florida, o bordado, tudo muito bonito. otimo produto.;pos
chegou apenas uma peca, mas na nota e na garantia constam as duas joias.;neg
eu nao recebi o produto e consta no sistema que eu recebi alem de pagar caro do frete;neg
